Date,Time,Sensor,TempC
2018-03-31,19:28:02,Dad's sensor,22.437
2018-03-31,19:28:07,Dad's sensor,22.437
2018-03-31,19:42:01,Dad's sensor,22.625
2018-03-31,19:43:01,Dad's sensor,22.625
2018-03-31,19:44:01,Dad's sensor,22.562
2018-03-31,19:45:01,Dad's sensor,22.625
2018-03-31,19:46:01,Dad's sensor,22.625
2018-03-31,19:47:01,Dad's sensor,22.625
2018-03-31,19:48:01,Dad's sensor,22.687
2018-03-31,19:49:01,Dad's sensor,22.687
2018-03-31,19:50:01,Dad's sensor,22.75
2018-03-31,19:51:01,Dad's sensor,22.625
2018-03-31,19:52:02,Dad's sensor,22.625
2018-03-31,19:53:02,Dad's sensor,22.687
2018-03-31,19:54:01,Dad's sensor,22.687
2018-03-31,19:55:01,Dad's sensor,22.687
2018-03-31,19:56:01,Dad's sensor,22.75
2018-03-31,19:57:01,Dad's sensor,22.687
2018-03-31,19:58:01,Dad's sensor,22.75
2018-03-31,19:59:01,Dad's sensor,22.75
2018-03-31,20:00:01,Dad's sensor,22.75
2018-03-31,20:01:01,Dad's sensor,22.75
2018-03-31,20:02:01,Dad's sensor,22.75
2018-03-31,20:03:01,Dad's sensor,22.75
2018-03-31,20:04:01,Dad's sensor,22.75
2018-03-31,20:05:02,Dad's sensor,22.75
2018-03-31,20:06:02,Dad's sensor,22.75
2018-03-31,20:07:01,Dad's sensor,22.75
2018-03-31,20:08:01,Dad's sensor,22.812
2018-03-31,20:09:01,Dad's sensor,22.812
2018-03-31,20:10:01,Dad's sensor,22.812
2018-03-31,20:11:01,Dad's sensor,22.75
2018-03-31,20:12:01,Dad's sensor,22.812
2018-03-31,20:13:01,Dad's sensor,22.687
2018-03-31,20:14:01,Dad's sensor,22.812
2018-03-31,20:15:01,Dad's sensor,22.812
2018-03-31,20:16:01,Dad's sensor,22.875
2018-03-31,20:17:01,Dad's sensor,22.812
2018-03-31,20:18:01,Dad's sensor,22.75
