Date,Time,Sensor,TempC
2018-03-31,19:28:02,My sensor,22.187
2018-03-31,19:28:07,My sensor,22.187
2018-03-31,19:42:01,My sensor,22.375
2018-03-31,19:43:01,My sensor,22.375
2018-03-31,19:44:01,My sensor,22.312
2018-03-31,19:45:01,My sensor,22.375
2018-03-31,19:46:01,My sensor,22.375
2018-03-31,19:47:01,My sensor,22.375
2018-03-31,19:48:01,My sensor,22.375
2018-03-31,19:49:01,My sensor,22.437
2018-03-31,19:50:01,My sensor,22.437
2018-03-31,19:51:01,My sensor,22.375
2018-03-31,19:52:02,My sensor,22.375
2018-03-31,19:53:02,Chris's Sensor,22.437
2018-03-31,19:54:01,Chris's Sensor,22.437
2018-03-31,19:55:01,Chris's Sensor,22.437
2018-03-31,19:56:01,Chris's Sensor,22.437
2018-03-31,19:57:01,Chris's Sensor,22.437
2018-03-31,19:58:01,Chris's Sensor,22.437
2018-03-31,19:59:01,Chris's Sensor,22.5
2018-03-31,20:00:01,Chris's Sensor,22.5
2018-03-31,20:01:01,Chris's Sensor,22.5
2018-03-31,20:02:01,Chris's Sensor,22.5
2018-03-31,20:03:01,Chris's Sensor,22.5
2018-03-31,20:04:01,Chris's Sensor,22.5
2018-03-31,20:05:02,Chris's Sensor,22.5
2018-03-31,20:06:02,Chris's Sensor,22.5
2018-03-31,20:07:01,Chris's Sensor,22.562
2018-03-31,20:08:01,Chris's Sensor,22.562
2018-03-31,20:09:01,Chris's Sensor,22.562
2018-03-31,20:10:01,Chris's Sensor,22.562
2018-03-31,20:11:01,Chris's Sensor,22.562
2018-03-31,20:12:01,Chris's Sensor,22.562
2018-03-31,20:13:01,Chris's Sensor,22.5
2018-03-31,20:14:01,Chris's Sensor,22.5
2018-03-31,20:15:01,Chris's Sensor,22.562
2018-03-31,20:16:01,Chris's Sensor,22.562
2018-03-31,20:17:01,Chris's Sensor,22.562
2018-03-31,20:18:01,Chris's Sensor,22.562
2018-03-31,20:24:02,Chris's Sensor,22.5
2018-03-31,20:25:02,Chris's Sensor,22.5
2018-03-31,20:26:01,Chris's Sensor,22.5
2018-03-31,20:27:01,Chris's Sensor,22.562
2018-03-31,20:28:01,Chris's Sensor,22.562
2018-03-31,20:29:01,Chris's Sensor,22.5
2018-03-31,20:30:01,Chris's Sensor,22.375
2018-03-31,20:31:01,Chris's Sensor,22.5
2018-03-31,20:32:01,Chris's Sensor,22.5
2018-03-31,20:33:01,Chris's Sensor,22.5
2018-03-31,20:34:01,Chris's Sensor,22.562
2018-03-31,20:35:01,Chris's Sensor,22.562
2018-03-31,20:36:01,Chris's Sensor,22.625
2018-03-31,20:37:01,Chris's Sensor,22.625
2018-03-31,20:38:01,Chris's Sensor,22.625
2018-03-31,20:39:01,Chris's Sensor,22.625
2018-03-31,20:40:02,Chris's Sensor,22.687
2018-03-31,20:41:02,Chris's Sensor,22.687
2018-03-31,20:42:02,Chris's Sensor,22.687
2018-03-31,20:43:01,Chris's Sensor,22.687
2018-03-31,20:44:01,Chris's Sensor,22.625
2018-03-31,20:45:01,Chris's Sensor,22.562
2018-03-31,20:46:01,Chris's Sensor,22.375
2018-03-31,20:47:01,Chris's Sensor,22.5
2018-03-31,20:48:01,Chris's Sensor,22.625
2018-03-31,20:49:01,Chris's Sensor,22.625
2018-03-31,20:50:01,Chris's Sensor,22.625
2018-03-31,20:51:01,Chris's Sensor,22.687
2018-03-31,20:52:01,Chris's Sensor,22.687
2018-03-31,20:53:01,Chris's Sensor,22.687
2018-03-31,20:54:02,Chris's Sensor,22.75
2018-03-31,20:55:02,Chris's Sensor,22.75
2018-03-31,20:56:01,Chris's Sensor,22.75
2018-03-31,20:57:01,Chris's Sensor,22.75
2018-03-31,20:58:01,Chris's Sensor,22.75
2018-03-31,20:59:01,Chris's Sensor,22.812
2018-03-31,21:00:01,Chris's Sensor,22.812
2018-03-31,21:01:01,Chris's Sensor,22.75
2018-03-31,21:02:01,Chris's Sensor,22.75
2018-03-31,21:03:01,Chris's Sensor,22.75
2018-03-31,21:04:01,Chris's Sensor,22.812
2018-03-31,21:05:01,Chris's Sensor,22.812
2018-03-31,21:06:01,Chris's Sensor,22.812
2018-03-31,21:07:01,Chris's Sensor,22.812
2018-03-31,21:08:01,Chris's Sensor,22.812
2018-03-31,21:09:01,Chris's Sensor,22.75
2018-03-31,21:10:01,Chris's Sensor,22.812
2018-03-31,21:11:01,Chris's Sensor,22.812
2018-03-31,21:12:01,Chris's Sensor,22.812
2018-03-31,21:13:02,Chris's Sensor,22.75
2018-03-31,21:14:02,Chris's Sensor,22.687
2018-03-31,21:15:01,Chris's Sensor,22.812
2018-03-31,21:16:01,Chris's Sensor,22.812
2018-03-31,21:17:01,Chris's Sensor,22.875
2018-03-31,21:18:01,Chris's Sensor,22.875
2018-03-31,21:19:01,Chris's Sensor,22.875
2018-03-31,21:20:01,Chris's Sensor,22.937
2018-03-31,21:21:01,Chris's Sensor,22.875
2018-03-31,21:22:01,Chris's Sensor,22.937
2018-03-31,21:23:01,Chris's Sensor,22.875
2018-03-31,21:24:01,Chris's Sensor,22.937
2018-03-31,21:25:01,Chris's Sensor,22.937
2018-03-31,21:26:01,Chris's Sensor,22.937
2018-03-31,21:27:01,Chris's Sensor,23.0
2018-03-31,21:28:01,Chris's Sensor,23.0
2018-03-31,21:29:02,Chris's Sensor,23.0
2018-03-31,21:30:02,Chris's Sensor,23.0
2018-03-31,21:31:01,Chris's Sensor,23.0
2018-03-31,21:32:01,Chris's Sensor,23.0
2018-03-31,21:33:01,Chris's Sensor,23.0
2018-03-31,21:34:01,Chris's Sensor,23.0
2018-03-31,21:35:01,Chris's Sensor,23.0
2018-03-31,21:36:01,Chris's Sensor,23.0
2018-03-31,21:37:01,Chris's Sensor,23.0
2018-03-31,21:38:02,Chris's Sensor,23.0
2018-03-31,21:39:02,Chris's Sensor,23.0
2018-03-31,21:40:02,Chris's Sensor,23.062
2018-03-31,21:41:01,Chris's Sensor,23.062
2018-03-31,21:42:01,Chris's Sensor,23.062
2018-03-31,21:43:01,Chris's Sensor,23.062
2018-03-31,21:44:01,Chris's Sensor,23.062
2018-03-31,21:45:01,Chris's Sensor,23.125
2018-03-31,21:46:01,Chris's Sensor,23.062
2018-03-31,21:47:01,Chris's Sensor,23.125
2018-03-31,21:48:01,Chris's Sensor,23.125
2018-03-31,21:49:01,Chris's Sensor,23.062
2018-03-31,21:50:01,Chris's Sensor,23.062
2018-03-31,21:51:01,Chris's Sensor,23.0
2018-03-31,21:52:01,Chris's Sensor,23.0
2018-03-31,21:53:01,Chris's Sensor,23.0
2018-03-31,21:54:01,Chris's Sensor,23.0
2018-03-31,21:55:01,Chris's Sensor,23.062
2018-03-31,21:56:01,Chris's Sensor,23.0
2018-03-31,21:57:01,Chris's Sensor,23.0
2018-03-31,21:58:01,Chris's Sensor,23.0
2018-03-31,21:59:01,Chris's Sensor,23.0
2018-03-31,22:00:01,Chris's Sensor,23.0
2018-03-31,22:01:01,Chris's Sensor,23.0
2018-03-31,22:02:01,Chris's Sensor,23.0
2018-03-31,22:03:01,Chris's Sensor,23.0
2018-03-31,22:04:01,Chris's Sensor,23.062
2018-03-31,22:05:01,Chris's Sensor,23.062
2018-03-31,22:06:01,Chris's Sensor,23.062
2018-03-31,22:07:01,Chris's Sensor,23.062
2018-03-31,22:08:01,Chris's Sensor,23.0
2018-03-31,22:09:01,Chris's Sensor,23.062
2018-03-31,22:10:01,Chris's Sensor,23.062
2018-03-31,22:11:01,Chris's Sensor,23.062
2018-03-31,22:12:02,Chris's Sensor,23.062
2018-03-31,22:13:02,Chris's Sensor,23.062
2018-03-31,22:14:02,Chris's Sensor,23.062
2018-03-31,22:15:01,Chris's Sensor,23.062
2018-03-31,22:16:01,Chris's Sensor,23.062
2018-03-31,22:17:01,Chris's Sensor,23.062
2018-03-31,22:18:01,Chris's Sensor,23.062
2018-03-31,22:19:01,Chris's Sensor,23.062
2018-03-31,22:20:01,Chris's Sensor,23.062
2018-03-31,22:21:01,Chris's Sensor,23.062
2018-03-31,22:22:01,Chris's Sensor,23.0
2018-03-31,22:23:01,Chris's Sensor,23.0
2018-03-31,22:24:01,Chris's Sensor,23.0
2018-03-31,22:25:01,Chris's Sensor,23.062
2018-03-31,22:26:01,Chris's Sensor,23.062
2018-03-31,22:27:01,Chris's Sensor,23.062
